Symbol  ,Description ,Quantity 
GM ,GENERAL MOTORS CO ,4
CQQQ ,INVESCO CHINA TECH ETF ,11
F ,FORD MOTOR CO ,60
IBB ,ISHARES BIOTECHNOLOGY ,3
MCHI ,ISHARES MSCI CHINA ,35
CHIQ ,GLOBAL X MSCI CHINA ,97
VONG ,VANGUARD RUSSELL 1000 ET ,5
FXI ,ISHARES CHINA LARGECAP ,20
IWY ,ISHARES RUSSELL TOP 200 ,3
FBCG ,FIDELITY BLUE CHIP ,13
SCHG ,SCHWAB U.S. LARGE-CAP ,9
SPYG ,STATE STREET SPDR PRTF ,9
VOOG ,VANGUARD S&P 500 GROWTH ,2
IVV ,ISHARES CORE S&P 500 ETF ,1
SCHD ,SCHWAB US DIVIDEND EQTY ,11
DRIV ,GLOBAL X AUTONOMOUS AND ,8
SPMO ,INVESCO S AND P 500 ,7
BAC ,BANK OF AMERICA CORP ,134
TQQQ ,PROSHARES ULTRAPRO QQQ ,37
AGG ,ISHARES CORE U.S. ,5
ARKW ,ARK NEXT GENERATION ,11
ARKQ ,ARK AUTONOMOUS TECH ,16
REMX ,VANECK RARE ,24
MCO ,MOODY'S CORP ,1
USD ,PROSHARES ULTRA ,84
MSFT ,MICROSOFT CORP ,2
KURE ,KRANESHARES MSCI ALL ,20
VNQ ,VANGUARD REAL ESTATE ETF ,6
